Date,Close_BTC-USD,High_BTC-USD,Low_BTC-USD,Open_BTC-USD,Volume_BTC-USD,Close_ETH-USD,High_ETH-USD,Low_ETH-USD,Open_ETH-USD,Volume_ETH-USD,Close_SOL-USD,High_SOL-USD,Low_SOL-USD,Open_SOL-USD,Volume_SOL-USD,Close_BNB-USD,High_BNB-USD,Low_BNB-USD,Open_BNB-USD,Volume_BNB-USD
2020-04-10,6865.4931640625,7303.8154296875,6802.47509765625,7303.8154296875,43622840992,158.41244506835938,170.94976806640625,154.9144744873047,170.8292694091797,17980944616,0.9510539770126343,1.3134870529174805,0.6941869854927063,0.8320050239562988,87364276,13.737724304199219,15.108040809631348,13.592670440673828,15.06022834777832,394331907
2020-04-11,6859.0830078125,6926.06982421875,6789.9208984375,6867.4404296875,31222085946,158.2160186767578,161.16757202148438,155.29833984375,158.5389862060547,13555089447,0.7768189907073975,1.0490729808807373,0.7650200128555298,0.9510539770126343,43862444,13.804287910461426,14.067329406738281,13.613004684448242,13.737724304199219,364313702
2020-04-12,6971.091796875,7119.947265625,6811.078125,6858.06787109375,35759567632,161.14242553710938,164.51695251464844,156.3205108642578,158.23239135742188,15123721386,0.8825070261955261,0.9566699862480164,0.7624260187149048,0.7854480147361755,38736897,14.375110626220703,14.74519157409668,13.729534149169922,13.81208610534668,414752932
2020-04-13,6845.03759765625,6965.61669921875,6668.259765625,6965.61669921875,38619308647,156.27955627441406,160.74969482421875,151.61448669433594,160.72067260742188,16465282133,0.7778319716453552,0.8916029930114746,0.7739760279655457,0.8907600045204163,18211285,15.03442668914795,15.048383712768555,13.72342586517334,14.404006004333496,459561236
2020-04-14,6842.427734375,6958.55712890625,6793.8212890625,6843.28173828125,34110434052,157.5963897705078,160.94427490234375,155.86593627929688,156.35595703125,14723156630,0.6619250178337097,0.7964720129966736,0.6281690001487732,0.7778319716453552,16747614,15.525075912475586,15.916357040405273,14.836448669433594,15.012063026428223,515331620
2020-04-15,6642.10986328125,6928.66455078125,6633.40283203125,6845.5615234375,32288311031,153.28689575195312,160.71112060546875,152.80284118652344,157.56564331054688,14171753737,0.646651029586792,0.7049639821052551,0.6215310096740723,0.6692889928817749,13075275,14.593927383422852,15.840275764465332,14.542898178100586,15.542677879333496,425648054
2020-04-16,7116.80419921875,7134.45068359375,6555.50439453125,6640.4541015625,46783242377,172.15737915039062,173.1572723388672,150.3594207763672,153.20042419433594,22910469236,0.6908159852027893,0.7741919755935669,0.6251069903373718,0.6308789849281311,21346031,15.702730178833008,15.702730178833008,14.236703872680664,14.581246376037598,478820058
2020-04-17,7096.1845703125,7167.18310546875,7050.33203125,7116.552734375,32513423567,171.63858032226562,174.27590942382812,169.75157165527344,172.2794189453125,16714684266,0.6607279777526855,0.7196140289306641,0.6607279777526855,0.6893119812011719,9870810,15.735082626342773,15.9415922164917,15.352086067199707,15.700992584228516,396448352
2020-04-18,7257.6650390625,7269.95654296875,7089.2470703125,7092.29150390625,32447188386,186.91400146484375,187.9404754638672,171.61807250976562,171.61807250976562,20160323443,0.6810960173606873,0.7176179885864258,0.6594269871711731,0.6607279777526855,9782112,16.593172073364258,16.71724510192871,15.730496406555176,15.746320724487305,479760692
2020-04-19,7189.4248046875,7280.52197265625,7167.0546875,7260.92236328125,31311210215,181.61495971679688,188.0989227294922,180.12081909179688,186.8619842529297,19146038381,0.6069689989089966,0.6846410036087036,0.5984870195388794,0.6815159916877747,9289670,16.13993263244629,16.707395553588867,16.098928451538086,16.60738754272461,402957217
