,Rendement Total (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,VaR (95%),CVaR (95%)
BTC-USD,1099.25140801947,0.8515421160065649,1.2260479391365102,1434.406819617028,-0.049064374667218136,-0.07167286033900165
ETH-USD,1040.1999553445778,0.7782055730998834,1.1138847633070397,1310.880667530584,-0.06297426662682348,-0.09311581582855412
SOL-USD,13005.736850213067,1.1224261786860508,1.813268964680328,13509.296177289509,-0.08814727963592439,-0.13369157070631005
BNB-USD,4280.858043652475,1.013712989973849,1.5348858578350015,6043.1662506488,-0.0594055684950523,-0.09208440994734447
